"turma";"codigo";"t.nome.nativo";"t.nome.exotico";"t.origem.nativo";"t.origem.exotico";"t.indice.nativo";"t.indice.exotico";"t.ave.nat";"t.ave.exo";"t.inv.nat";"t.inv.exo";"t.mam.nat";"t.mam.exo";"t.pei.nat";"t.pei.exo";"t.rep.nat";"t.rep.exo"
1;1;4;4;4;4;4;4;1;1;0;1;1;1;1;1;1;0
1;2;4;4;5;3;4;3;1;1;0;0;1;1;1;1;1;0
1;3;5;4;5;3;5;3;1;1;1;0;1;1;1;1;1;0
1;4;4;3;5;3;4;3;1;1;1;0;1;1;0;1;1;0
1;5;2;2;3;3;1;2;0;0;0;0;1;1;0;1;0;0
1;6;3;3;5;3;3;2;1;0;1;0;1;1;0;1;0;0
1;7;3;3;5;5;3;3;0;0;1;1;1;1;1;1;0;0
1;8;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1
1;9;3;4;4;1;3;1;1;0;0;0;1;0;0;1;1;0
1;10;4;4;5;3;4;3;1;0;1;1;1;1;0;1;1;0
1;11;4;4;5;2;4;2;1;1;1;0;0;0;1;1;1;0
1;12;4;4;5;4;4;3;1;0;0;1;1;0;1;1;1;1
1;13;5;2;4;0;4;0;1;0;1;0;1;0;0;0;1;0
1;14;5;5;4;5;4;5;1;1;0;1;1;1;1;1;1;1
1;15;5;5;5;3;5;3;1;1;1;0;1;1;1;1;1;0
1;16;2;2;3;2;2;1;1;1;0;0;0;0;0;0;1;0
1;17;5;2;4;4;4;1;1;1;0;0;1;0;1;0;1;0
1;18;4;3;2;2;1;2;1;0;0;1;0;0;0;1;0;0
1;19;2;3;1;3;0;2;0;0;0;1;0;0;0;0;0;1
1;20;3;3;3;3;1;2;0;0;0;0;1;1;0;0;0;1
1;21;3;2;3;1;2;1;0;0;1;0;1;0;0;0;0;1
1;22;4;4;4;4;3;4;0;1;0;0;1;1;1;1;1;1
1;23;3;3;4;2;3;2;1;0;1;0;1;1;0;0;0;1
1;24;5;3;3;2;3;1;1;0;0;0;1;1;0;0;1;0
1;25;3;3;5;2;3;2;1;0;1;0;1;1;0;0;0;1
1;26;5;4;5;2;5;2;1;0;1;0;1;1;1;0;1;1
1;27;5;3;0;2;0;1;0;0;0;0;0;0;0;0;0;1
1;28;3;5;3;5;2;5;1;1;0;1;0;1;1;1;0;1
1;29;5;4;5;3;5;2;1;0;1;0;1;1;1;1;1;0
1;30;5;4;5;3;5;3;1;0;1;0;1;1;1;1;1;1
1;31;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1
1;32;3;4;4;4;3;4;1;1;0;0;0;1;1;1;1;1
1;33;2;5;2;4;2;4;0;0;0;1;0;1;1;1;1;1
1;34;5;5;4;3;4;3;1;0;1;1;1;1;0;1;1;0
1;35;2;4;4;3;2;2;1;0;0;0;0;1;0;1;1;0
1;36;3;4;0;4;0;3;0;0;0;1;0;1;0;1;0;0
2;37;3;5;3;5;3;5;1;1;0;1;1;1;0;1;1;1
2;38;4;4;5;2;4;2;1;0;0;0;1;1;1;1;1;0
2;39;4;4;3;3;3;3;1;1;0;1;1;1;0;0;1;0
2;41;3;5;4;3;3;3;1;1;0;0;1;1;1;1;0;0
2;42;4;3;4;4;4;3;1;1;1;1;1;1;0;0;1;0
2;43;2;4;3;3;2;3;1;1;0;0;1;1;0;1;0;0
2;44;5;5;4;3;4;3;1;1;0;1;1;0;1;1;1;0
2;45;4;4;5;5;4;4;1;1;1;1;1;1;1;0;0;1
2;46;3;4;3;3;1;3;1;0;0;1;0;1;0;1;0;0
2;47;5;3;5;5;5;3;1;1;1;1;1;1;1;0;1;0
2;48;5;4;5;2;5;2;1;0;1;1;1;0;1;1;1;0
2;49;1;2;2;5;1;2;0;1;0;1;0;0;0;0;1;0
2;50;5;5;2;5;2;5;1;1;0;1;1;1;0;1;0;1
2;51;4;4;3;2;2;1;1;0;0;0;0;0;0;0;1;1
2;52;5;4;4;2;4;2;1;0;0;0;1;1;1;0;1;1
2;53;5;3;4;3;4;3;1;0;0;0;1;1;1;1;1;1
2;54;4;3;2;3;1;2;0;0;1;0;0;1;0;0;0;1
2;55;3;2;1;3;1;2;0;0;0;0;0;1;1;0;0;1
2;56;4;1;3;1;3;1;1;0;0;0;1;0;0;0;1;1
2;57;2;3;2;3;0;2;0;0;0;0;0;1;0;0;0;1
2;58;4;3;5;2;4;1;1;0;1;0;1;1;1;0;0;0
2;59;4;3;4;2;4;2;1;0;1;1;0;0;1;1;1;0
2;60;0;2;4;2;0;2;0;0;0;0;0;1;0;1;0;0
2;61;2;2;5;2;2;1;0;0;0;0;0;0;1;1;1;0
2;62;2;4;4;3;2;3;1;0;0;1;0;1;0;1;1;0
3;63;4;5;2;3;2;3;0;0;1;0;0;1;1;1;0;1
3;65;3;5;5;5;3;5;1;1;0;1;0;1;1;1;1;1
3;66;1;4;3;3;1;3;0;1;0;1;1;1;0;0;0;0
3;67;4;4;5;3;4;3;1;0;0;0;1;1;1;1;1;1
3;68;2;4;3;4;2;3;1;0;0;0;0;1;1;1;0;1
3;69;1;5;3;3;0;3;0;0;0;1;0;1;0;1;0;0
3;70;5;3;2;2;2;1;1;0;0;0;0;0;1;1;0;0
3;71;3;5;4;3;3;3;1;0;0;1;1;1;0;0;1;1
3;72;4;5;4;2;3;2;1;0;0;0;0;1;1;1;1;0
3;73;4;4;4;2;4;2;1;0;0;0;1;1;1;0;1;1
3;74;2;3;5;0;2;0;1;0;0;0;0;0;1;0;0;0
3;75;4;2;4;3;3;1;1;0;0;0;1;0;0;0;1;1
3;76;5;4;4;2;4;2;1;1;0;0;1;0;1;0;1;1
3;77;4;2;4;1;3;0;0;0;1;0;1;0;1;0;0;0
3;78;2;1;3;1;1;1;0;0;0;0;0;0;1;0;0;1
3;79;4;4;5;2;4;2;1;0;0;0;1;1;1;0;1;1
3;80;4;4;5;2;4;2;1;0;0;0;1;1;1;0;1;1
3;81;3;4;4;4;3;3;1;0;1;1;0;0;1;1;0;1
3;82;3;3;5;1;3;1;1;0;1;0;1;0;0;0;0;1
3;83;5;2;4;2;4;1;1;0;1;0;0;0;1;0;1;1
3;84;5;3;3;3;3;1;1;0;0;0;1;0;0;1;1;0
3;85;5;1;4;3;4;1;1;1;0;0;1;0;1;0;1;0
3;86;4;5;4;2;3;2;0;1;1;0;1;0;0;1;1;0
3;87;5;4;3;3;3;3;1;1;0;1;1;0;1;1;0;0
3;88;3;2;3;1;2;0;1;0;0;0;0;0;0;0;1;0
3;89;5;2;4;3;4;1;1;1;0;0;1;0;1;0;1;0
3;90;5;4;5;4;5;4;1;1;1;1;1;1;1;1;1;0
3;91;5;4;5;3;5;3;1;1;1;0;1;1;1;1;1;0
3;92;4;4;5;4;4;3;1;1;0;1;1;1;1;0;1;0
3;93;3;2;2;4;2;2;0;0;0;1;1;1;1;0;0;0
3;94;4;4;5;1;4;1;1;0;0;0;1;1;1;0;1;0
3;95;5;5;3;3;3;3;0;1;1;0;1;0;1;1;0;1
3;96;4;5;4;5;4;5;1;1;0;1;1;1;1;1;1;1
3;97;4;4;5;5;4;4;1;1;1;0;1;1;0;1;1;1
3;98;3;2;4;3;3;2;1;0;1;1;1;1;0;0;0;0
3;99;3;4;3;3;2;3;1;1;0;1;1;0;0;1;0;0
3;100;5;5;5;2;5;2;1;0;1;0;1;1;1;0;1;1
4;101;4;4;4;3;4;3;1;1;0;0;1;1;1;1;1;0
4;102;3;4;4;4;2;4;0;1;1;1;1;1;0;1;0;0
4;103;4;3;4;4;4;3;1;1;0;0;1;1;1;0;1;1
4;104;5;5;5;4;5;4;1;1;1;0;1;1;1;1;1;1
4;105;3;5;4;3;3;3;1;1;0;0;1;1;0;1;1;0
4;106;3;5;4;2;3;2;1;1;0;0;1;1;0;0;1;0
4;107;4;4;2;4;2;3;1;1;0;0;1;1;0;1;0;0
4;108;5;5;4;4;4;4;1;1;0;1;1;1;1;1;1;0
4;109;5;5;5;4;5;4;1;1;1;1;1;1;1;1;1;0
4;110;5;2;4;4;4;2;1;0;0;1;1;0;1;1;1;0
4;111;4;4;4;3;3;3;1;1;1;1;1;0;0;1;0;0
4;112;4;4;4;4;4;4;1;1;1;1;1;1;0;1;1;0
4;113;4;2;4;2;3;1;1;0;0;1;1;0;0;0;1;0
4;114;3;5;4;3;3;3;1;0;1;0;1;1;0;1;0;1
4;115;4;4;5;4;4;4;1;1;1;0;1;1;0;1;1;1
4;116;4;5;5;0;4;0;1;0;1;0;1;0;1;0;0;0
4;117;5;4;5;3;5;3;1;1;1;0;1;1;1;0;1;1
4;118;3;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
4;119;5;4;4;2;4;2;1;0;1;0;1;1;0;0;1;1
4;120;2;4;2;2;0;2;0;0;0;0;0;1;0;0;0;1
4;121;2;5;4;5;2;5;1;1;0;1;0;1;0;1;1;1
4;122;3;4;4;3;2;2;0;0;0;1;1;1;0;0;1;0
4;123;0;5;4;1;0;1;0;0;0;0;0;1;0;0;0;0
4;124;5;3;5;4;5;3;1;1;1;0;1;1;1;1;1;0
4;125;3;4;2;4;2;4;1;1;0;0;0;1;1;1;0;1
5;126;4;5;4;5;4;5;1;1;1;1;0;1;1;1;1;1
5;127;2;4;4;3;2;3;1;1;0;0;0;1;0;1;1;0
5;128;2;5;2;3;1;3;0;0;1;1;0;1;0;1;0;0
5;129;2;3;4;4;2;2;0;0;0;0;0;1;1;1;1;0
5;130;5;3;5;2;5;2;1;0;1;0;1;1;1;1;1;0
5;131;3;3;4;3;3;3;1;0;1;1;0;1;0;1;1;0
5;132;3;5;1;4;1;4;1;1;0;0;0;1;0;1;0;1
5;133;5;5;5;4;5;4;1;1;1;1;1;1;1;1;1;0
5;134;3;4;4;3;3;3;1;0;0;1;1;1;1;1;0;0
5;135;4;3;4;3;4;3;1;0;0;1;1;1;1;1;1;0
5;136;5;5;5;3;5;3;1;1;1;0;1;1;1;1;1;0
5;137;5;3;5;4;5;3;1;1;1;0;1;1;1;0;1;1
5;138;4;3;3;4;3;2;1;1;0;0;1;1;0;0;1;0
5;139;4;4;3;4;3;4;1;1;0;1;1;1;0;1;1;0
5;140;4;2;4;4;3;1;1;0;0;0;1;1;0;0;1;0
5;141;3;3;3;3;3;3;1;1;0;0;1;1;1;1;0;0
5;142;5;5;5;3;5;3;1;1;1;1;1;0;1;1;1;0
5;143;4;5;3;3;2;3;1;1;0;1;0;0;0;1;1;0
5;144;4;4;4;4;3;3;1;0;0;1;1;0;0;1;1;1
5;145;5;5;4;5;4;5;1;1;0;1;1;1;1;1;1;1
5;146;4;4;5;5;4;4;1;0;1;1;1;1;0;1;1;1
5;147;5;4;4;2;4;2;1;0;0;0;1;1;1;0;1;1
5;148;4;3;4;2;3;2;1;0;0;1;1;0;1;1;0;0
5;149;5;4;5;2;5;2;1;0;1;0;1;1;1;0;1;1
5;150;3;3;5;2;3;2;1;0;0;0;0;1;1;0;1;1
5;151;4;4;5;2;4;2;1;0;1;0;1;1;0;0;1;1
5;152;4;3;4;3;3;2;1;0;0;0;1;1;0;0;1;1
5;153;5;4;4;1;4;1;1;0;0;0;1;0;1;0;1;1
5;154;3;3;3;2;3;2;1;0;0;1;1;0;0;0;1;1
5;155;3;1;4;1;3;0;1;0;1;0;1;0;0;0;0;0
5;156;3;5;3;2;2;2;1;0;0;1;0;1;0;0;1;0
6;157;4;5;5;5;4;5;1;1;0;1;1;1;1;1;1;1
6;158;5;5;4;4;4;4;0;0;1;1;1;1;1;1;1;1
6;159;1;5;3;3;1;3;0;0;0;0;0;1;0;1;1;1
6;160;3;5;5;5;3;5;1;1;0;1;0;1;1;1;1;1
6;161;3;5;3;4;2;4;0;1;0;1;1;1;1;1;0;0
6;162;3;5;2;4;2;4;0;0;1;1;0;1;1;1;0;1
6;163;4;4;5;4;4;4;1;1;0;0;1;1;1;1;1;1
6;164;3;2;2;2;2;2;0;0;1;0;1;0;0;1;0;1
6;165;3;3;2;3;1;3;0;0;0;0;0;1;0;1;1;1
6;166;5;5;5;4;5;4;1;1;1;1;1;1;1;1;1;0
6;167;4;3;5;4;4;3;1;1;1;1;1;0;0;1;1;0
6;168;4;5;4;3;3;3;1;0;1;1;1;1;0;1;0;0
6;169;4;2;4;4;3;2;1;0;0;1;0;0;1;1;1;0
6;170;5;3;4;4;4;3;1;1;0;0;1;1;1;1;1;0
6;171;5;3;0;2;0;2;0;0;0;1;0;0;0;1;0;0
6;172;4;2;5;0;4;0;1;0;0;0;1;0;1;0;1;0
6;173;3;3;3;3;2;1;1;0;0;0;1;1;0;0;0;0
6;174;2;3;5;3;2;2;1;1;0;0;1;1;0;0;0;0
6;175;3;4;2;5;1;4;0;1;0;1;1;1;0;0;0;1
6;176;4;2;4;3;4;2;1;0;1;0;1;1;1;1;0;0
6;177;4;4;5;4;4;4;1;1;0;1;1;1;1;1;1;0
6;178;4;4;5;4;4;4;1;1;0;1;1;1;1;1;1;0
6;179;3;2;2;3;2;2;0;0;1;0;0;1;1;1;0;0
6;180;3;3;4;3;2;2;1;0;0;0;1;0;0;1;0;1
6;181;3;3;3;3;1;2;0;0;0;0;0;0;0;1;1;1
6;182;5;4;5;3;5;3;1;0;1;0;1;1;1;1;1;1
6;183;5;4;5;3;5;3;1;0;1;0;1;1;1;1;1;1
6;184;4;2;5;2;4;1;1;0;1;0;1;0;0;0;1;1
7;477;5;4;5;3;5;3;1;1;1;0;1;1;1;1;1;0
7;478;3;2;4;2;3;1;1;0;0;0;1;1;0;0;1;0
7;479;3;4;3;3;2;3;1;1;0;0;1;1;0;1;0;0
7;480;3;4;4;3;3;2;1;0;0;0;1;1;1;1;0;0
7;481;3;4;5;3;3;3;1;0;1;1;1;1;0;1;0;0
7;482;3;3;3;4;2;2;0;0;0;1;1;1;1;0;0;0
7;483;3;4;4;5;3;4;1;1;0;1;1;1;0;1;1;0
7;484;3;4;3;4;2;4;1;0;0;1;0;1;0;1;1;1
7;485;3;5;2;3;1;3;1;1;0;1;0;0;0;1;0;0
7;486;4;5;3;2;2;2;1;0;0;1;0;0;1;1;0;0
7;487;4;4;5;4;4;4;1;1;1;1;1;0;0;1;1;1
7;488;2;3;4;2;2;2;1;1;0;0;0;0;0;1;1;0
7;489;1;3;2;3;1;1;0;0;0;0;1;1;0;0;0;0
7;490;3;2;3;4;2;2;1;1;0;0;1;0;0;0;0;1
7;491;3;3;5;2;3;1;1;0;0;0;1;0;1;0;0;1
7;492;4;2;4;1;3;1;1;0;1;0;1;0;0;0;0;1
7;493;3;4;3;2;2;2;1;0;0;0;1;1;0;0;0;1
7;494;4;2;5;3;4;2;1;0;1;0;1;1;0;0;1;1
7;495;2;5;3;5;2;5;1;1;0;1;0;1;0;1;1;1
7;496;1;4;3;2;1;2;0;0;0;0;0;0;0;1;1;1
7;497;5;4;5;3;5;3;1;1;1;0;1;1;1;0;1;1
7;498;3;5;2;5;2;5;1;1;0;1;0;1;0;1;1;1
7;499;3;4;5;3;3;3;0;0;1;0;0;1;1;1;1;1
8;500;4;4;5;3;4;3;1;0;1;1;1;1;0;1;1;0
8;501;4;5;2;3;2;3;1;1;0;0;1;1;0;0;0;1
8;502;3;3;5;4;3;2;1;1;1;0;1;1;0;0;0;0
8;503;1;4;3;4;1;3;0;0;0;0;0;1;1;1;0;1
8;504;2;2;2;2;1;1;0;0;0;0;1;0;0;0;0;1
8;505;4;3;4;3;4;2;1;0;1;1;1;1;1;0;0;0
8;506;5;1;4;1;4;1;1;0;1;0;1;0;0;0;1;1
8;507;1;5;4;5;1;5;0;1;0;1;0;1;0;1;1;1
8;508;4;4;4;4;4;3;1;1;1;1;1;1;0;0;1;0
8;509;2;5;3;4;2;4;1;1;0;1;1;1;0;1;0;0
8;510;3;2;3;3;2;1;1;0;1;0;0;1;0;0;0;0
8;511;4;3;4;4;4;2;1;0;1;1;1;1;0;0;1;0
8;512;1;4;3;4;0;4;0;1;0;0;0;1;0;1;0;1
8;513;4;4;3;2;3;2;1;0;0;1;1;0;0;1;1;0
8;514;3;3;4;2;3;2;1;1;0;0;1;1;1;0;0;0
8;515;5;4;4;2;4;2;1;0;1;0;1;1;0;1;1;0
8;516;3;2;3;0;1;0;0;0;1;0;0;0;0;0;0;0
8;517;4;4;4;4;4;3;1;0;1;1;1;1;0;1;1;0
8;518;3;3;5;4;3;3;0;1;1;0;0;1;1;1;1;0
8;519;3;3;3;4;2;2;1;0;0;0;0;1;0;1;1;0
8;520;5;3;5;3;5;2;1;0;1;0;1;1;1;0;1;1
9;243;4;1;4;2;4;0;0;0;1;0;1;0;1;0;1;0
9;244;3;4;5;5;3;4;1;1;0;0;0;1;1;1;1;1
9;245;5;4;5;4;5;4;1;1;1;0;1;1;1;1;1;1
9;246;3;4;4;4;2;4;1;1;0;0;0;1;1;1;0;1
9;247;2;4;5;4;2;4;1;1;1;0;0;1;0;1;0;1
9;248;3;4;5;3;3;3;1;0;0;0;0;1;1;1;1;1
9;249;1;4;2;3;0;3;0;1;0;0;0;1;0;1;0;0
9;250;2;4;2;3;1;3;0;0;1;1;0;1;0;1;0;0
9;251;5;4;5;2;5;2;1;0;1;0;1;1;1;0;1;1
9;252;1;4;4;2;1;2;1;0;0;0;0;0;0;1;0;1
9;253;2;1;2;1;2;1;1;0;0;0;1;0;0;0;0;1
9;254;5;4;4;3;4;2;1;0;1;0;1;1;0;0;1;1
9;255;2;3;5;2;2;1;0;0;0;0;1;1;0;0;1;0
9;256;5;3;4;0;4;0;1;0;0;0;1;0;1;0;1;0
9;257;3;3;5;2;3;2;1;0;1;0;1;1;0;0;0;1
9;258;2;2;2;2;2;2;1;0;0;0;1;1;0;0;0;1
9;259;5;3;5;2;5;2;1;0;1;0;1;1;1;0;1;1
9;260;3;4;3;5;2;4;1;1;0;1;1;1;0;0;0;1
9;261;4;2;1;2;0;1;0;1;0;0;0;0;0;0;0;0
9;262;3;1;4;3;3;0;1;0;1;0;1;0;0;0;0;0
9;263;5;3;5;2;5;2;1;1;1;0;1;1;1;0;1;0
9;264;5;4;5;3;5;3;1;1;1;1;1;0;1;1;1;0
9;265;4;5;2;5;2;5;1;1;0;1;0;1;1;1;0;1
9;266;4;4;4;5;3;4;1;1;0;1;1;1;0;1;1;0
9;267;4;3;4;3;3;2;1;1;0;0;1;1;0;0;1;0
9;268;5;3;4;3;4;3;1;1;1;0;1;0;0;1;1;1
9;269;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1
9;270;3;3;2;4;2;3;1;0;0;1;1;1;0;1;0;0
9;271;3;4;3;3;3;3;1;1;0;0;1;1;1;1;0;0
